TimeStamp,ECG Data,GSR Data,EMG Data
108872,479,793,47
108880,478,792,4
108889,464,792,123
108896,481,792,19
108904,480,792,126
108849,474,791,212
108856,488,792,34
108864,476,793,17
108872,479,793,47
108880,478,792,4
108889,464,792,123
108896,481,792,19
108904,480,792,126
0,488,687,273
8,487,688,195
16,499,697,350
24,476,692,217
31,494,696,320
40,487,694,238
49,489,682,243
56,492,681,372
64,484,671,271
72,501,668,385
80,495,659,305
89,498,663,286
96,492,673,407
104,482,679,198
112,496,684,241
120,494,687,195
129,498,690,118
136,498,694,234
144,488,696,163
151,499,700,219
160,493,695,155
168,503,685,236
176,509,689,496
184,500,690,251
192,521,692,280
200,511,684,205
208,509,682,224
217,510,681,339
224,490,669,226
232,500,669,265
240,488,679,188
248,486,691,139
257,488,695,265
264,481,705,77
271,492,710,179
280,483,712,160
287,489,717,125
296,493,723,239
305,479,717,119
312,484,713,342
320,484,693,310
328,546,685,197
336,634,678,325
345,684,669,276
352,709,668,429
360,598,669,336
368,488,676,254
376,439,668,363
385,429,658,262
392,460,658,409
400,466,651,419
407,474,651,295
416,480,651,307
424,475,644,208
432,487,646,363
440,479,640,282
448,488,640,264
456,491,648,346
464,484,651,251
473,496,662,432
480,490,667,365
488,492,671,69
496,496,675,103
504,491,673,71
513,506,670,295
520,500,658,295
527,509,654,323
536,519,652,447
543,516,645,329
552,531,647,470
561,525,640,416
568,534,640,365
576,538,639,421
584,529,635,316
592,542,638,410
601,526,633,292
608,529,633,305
616,522,633,390
624,501,629,265
632,502,633,450
641,479,628,276
648,479,629,261
656,471,630,387
663,457,626,275
672,464,630,273
680,456,625,260
688,466,627,277
696,466,627,307
704,462,624,234
712,481,629,432
720,473,624,384
729,482,626,286
736,484,627,318
744,476,623,285
752,490,628,327
760,482,631,248
769,489,642,241
776,489,655,345
783,479,668,180
792,491,681,288
799,478,693,265
808,487,705,152
817,484,716,209
824,478,724,35
832,486,734,112
840,473,742,40
848,472,751,4
857,465,757,1
864,463,763,0
872,455,769,0
880,445,774,0
888,440,779,0
897,426,784,0
904,438,786,0
912,414,790,0
919,411,794,0
928,413,798,0
935,391,801,0
945,417,805,0
952,370,808,0
960,367,810,0
968,364,813,0
976,325,815,0
985,384,817,0
992,340,819,0
1000,357,820,0
1008,371,822,0
1016,322,824,0
1025,401,825,0
1032,350,826,0
1039,361,827,0
1048,374,806,0
1056,327,809,0
1064,402,811,0
1073,509,806,104
1080,583,808,451
1088,676,811,734
