TimeStamp,ECG Data,GSR Data,EMG Data
28236,537,620,512
28240,536,622,544
28244,523,620,523
28248,515,619,507
28252,508,619,485
28224,547,620,553
28228,540,619,495
28232,537,619,482
28236,537,620,512
28240,536,622,544
28244,523,620,523
28248,515,619,507
28252,508,619,485
0,706,627,491
4,728,629,560
8,705,630,583
12,627,627,529
16,569,626,485
20,511,627,508
24,480,629,537
28,460,629,530
32,441,626,464
36,437,625,427
40,451,626,471
44,462,628,528
48,474,628,580
52,473,626,530
56,472,625,472
60,477,625,453
64,486,627,489
68,487,627,510
72,480,625,474
76,480,624,470
80,487,624,515
84,497,627,566
88,496,626,559
92,490,624,519
96,487,623,472
100,493,624,493
104,504,626,584
108,503,626,589
112,496,623,499
116,495,623,469
120,503,624,534
124,509,625,573
129,508,625,546
132,503,623,476
136,500,622,433
140,507,623,455
144,515,625,510
148,513,624,520
152,505,623,470
156,503,622,445
160,512,623,490
164,521,624,543
168,520,624,547
172,516,623,509
176,513,621,478
180,518,622,507
184,525,624,578
188,530,624,611
192,528,622,544
196,526,621,479
200,530,622,498
204,539,624,552
208,539,624,567
212,534,622,530
216,533,621,509
220,538,622,527
224,548,624,586
228,547,624,559
232,540,622,465
236,540,621,428
240,549,622,485
244,554,624,544
247,550,623,548
252,538,621,522
257,536,621,532
260,540,622,536
264,543,623,536
268,535,623,523
272,523,622,482
276,514,621,456
280,514,622,498
284,514,623,545
288,505,623,527
292,497,621,478
296,492,621,440
300,493,621,451
304,494,624,527
308,490,623,535
312,481,621,478
316,474,621,447
320,478,621,485
324,485,623,552
328,481,623,546
332,473,621,482
336,473,620,465
340,480,621,490
344,487,623,540
348,485,623,573
352,477,621,523
356,475,620,468
360,485,622,469
364,492,623,516
368,490,623,534
372,484,621,480
376,485,620,451
380,495,621,485
385,500,623,533
388,497,623,540
392,492,621,492
396,490,620,438
400,497,621,478
404,505,623,558
408,505,623,573
412,499,621,516
416,495,620,493
420,499,621,520
424,507,623,538
428,508,623,527
432,504,621,477
436,502,620,439
440,506,621,466
444,512,623,543
448,510,623,542
452,501,621,498
456,500,620,500
460,504,621,522
464,511,623,559
468,509,623,534
472,503,621,468
476,499,620,426
480,503,621,473
484,510,623,550
488,508,623,568
492,500,621,496
496,499,620,457
500,508,621,497
504,513,623,562
508,508,622,558
513,502,621,492
516,500,620,451
520,504,621,499
524,510,623,594
528,508,623,595
532,502,621,494
536,501,620,432
540,506,621,459
544,511,623,529
548,506,622,533
552,500,621,490
557,501,620,473
560,505,621,515
564,512,623,610
568,509,623,616
572,502,621,502
576,500,620,432
580,504,621,440
584,513,623,509
588,512,623,515
592,505,621,460
596,501,620,426
600,505,621,454
604,513,623,518
607,514,623,547
