TimeStamp,ECG Data,GSR Data
53,509,1886
60,509,1886
66,509,1890
73,508,1890
80,509,1890
87,509,1892
93,508,1893
100,509,1893
106,509,1893
113,509,1893
120,508,1893
126,508,1896
133,509,1896
140,509,1897
146,510,1897
153,509,1897
160,509,1897
166,509,1897
174,509,1897
180,509,1897
186,509,1898
193,509,1897
200,509,1900
206,509,1901
214,509,1900
220,509,1901
226,510,1901
233,510,1901
240,509,1901
246,509,1901
253,509,1901
261,509,1901
266,509,1901
273,509,1901
280,510,1901
286,510,1901
293,509,1901
301,510,1901
306,509,1901
312,509,1901
320,509,1901
326,509,1901
333,510,1901
340,510,1901
345,510,1901
353,509,1901
360,509,1901
366,509,1901
373,509,1901
379,509,1901
387,509,1901
393,509,1901
400,510,1901
406,509,1901
413,508,1901
420,509,1901
427,509,1901
433,508,1901
440,509,1901
446,509,1901
453,509,1901
460,509,1901
466,509,1901
474,509,1901
480,510,1901
486,509,1901
493,509,1901
500,510,1901
506,510,1901
514,509,1901
520,509,1901
526,509,1901
533,509,1901
540,510,1901
546,509,1901
553,509,1901
560,509,1902
566,509,1903
573,509,1901
580,509,1902
586,509,1901
592,509,1901
601,509,1903
606,509,1903
613,509,1901
620,509,1904
626,510,1904
633,509,1904
641,510,1904
646,510,1904
653,509,1904
660,509,1904
666,509,1904
673,509,1904
680,509,1904
687,509,1904
693,509,1904
700,510,1904
706,510,1904
713,510,1904
720,510,1904
727,510,1904
733,509,1904
740,510,1904
746,510,1904
753,509,1904
760,510,1904
766,510,1904
773,509,1904
780,510,1904
786,510,1904
793,509,1904
800,509,1904
806,509,1904
814,509,1904
820,509,1904
826,509,1904
833,509,1904
839,509,1904
846,509,1904
854,509,1904
860,509,1904
866,509,1904
873,509,1904
880,509,1904
886,509,1904
893,509,1904
901,509,1904
906,509,1904
913,509,1904
920,509,1904
926,509,1904
933,508,1904
941,509,1904
946,509,1904
953,509,1904
960,509,1904
966,509,1904
973,509,1904
980,509,1904
986,510,1904
993,509,1904
1000,509,1903
1006,509,1903
1013,509,1901
1020,509,1901
1027,509,1901
1033,509,1901
1040,509,1901
1046,509,1901
1052,509,1901
1060,509,1901
1067,509,1901
1073,509,1901
1080,510,1901
1085,509,1901
1093,509,1900
1100,510,1901
1106,510,1901
1114,509,1901
1120,509,1901
1126,509,1901
1133,509,1901
1140,509,1901
1146,509,1901
1154,509,1901
1160,509,1901
1166,509,1901
1173,508,1901
1180,509,1901
1186,509,1901
1193,509,1901
1200,509,1901
1206,509,1901
1213,509,1901
1220,509,1901
1226,509,1901
1233,508,1901
1241,509,1901
1246,509,1901
1253,508,1901
1260,509,1901
1266,509,1901
1273,509,1901
1281,509,1901
1286,509,1901
1293,508,1901
1299,509,1901
1306,509,1901
1313,508,1901
1320,509,1901
1327,509,1901
1332,509,1901
1340,509,1901
1346,509,1901
1353,509,1901
1360,510,1901
1367,509,1901
1373,509,1898
1380,510,1900
1386,510,1901
1393,509,1900
1400,509,1901
1406,510,1901
1413,509,1901
1420,509,1901
1426,509,1901
1433,509,1901
1440,509,1901
1446,508,1901
1454,508,1901
1460,509,1901
1466,509,1901
1473,509,1901
1480,509,1901
1486,509,1901
1494,509,1901
1500,509,1901
1506,510,1901
1512,510,1901
1520,510,1901
1526,510,1901
1533,509,1901
1541,509,1901
1546,509,1901
1553,509,1901
1560,509,1901
1566,509,1901
1573,509,1901
1580,509,1901
1586,509,1901
1593,509,1901
1600,509,1901
1606,509,1901
1613,509,1900
1620,509,1901
1626,509,1900
1633,509,1899
1640,509,1900
1646,509,1900
1653,509,1897
1660,509,1898
1667,509,1898
1673,509,1897
1680,509,1897
1686,509,1897
1693,508,1897
1700,509,1897
1707,509,1897
1713,509,1897
1720,509,1897
1726,509,1897
1733,509,1897
1740,509,1897
1746,509,1897
1754,509,1897
1760,509,1897
1766,509,1897
1773,509,1897
1780,510,1897
1786,510,1897
1793,510,1897
1800,510,1897
1806,509,1897
1813,509,1897
1820,509,1897
1825,509,1897
1833,509,1897
1840,509,1897
1846,509,1897
1853,510,1896
1860,509,1897
1866,509,1897
1873,509,1894
1881,509,1897
1886,509,1895
1893,508,1894
1900,509,1894
1906,509,1893
1913,508,1893
1921,509,1893
1926,509,1893
1933,509,1893
1940,510,1892
1946,510,1891
1953,509,1890
1960,510,1890
1967,510,1890
1973,509,1890
1980,510,1890
1986,510,1890
1993,510,1890
2000,510,1890
2007,509,1890
2013,509,1890
2020,510,1890
2026,509,1890
2033,509,1890
2039,509,1890
2046,509,1890
2053,509,1890
2060,509,1890
