TimeStamp,ECG Data,GSR Data,EMG Data
16,504,526,567
24,496,522,471
31,500,524,506
40,500,524,546
49,499,522,477
56,508,525,550
64,500,521,475
72,494,523,501
80,482,523,516
89,508,521,460
96,603,524,564
104,675,521,488
112,741,523,597
120,668,523,579
129,514,521,400
135,460,524,541
144,436,521,514
151,460,522,457
160,476,523,549
168,476,521,482
176,486,524,550
184,479,521,386
192,488,523,499
200,489,523,488
208,490,521,439
217,500,524,590
224,493,521,537
232,500,523,540
240,502,523,540
248,502,521,452
256,513,525,595
264,506,522,447
271,514,523,481
280,517,523,543
288,516,522,501
296,529,525,630
305,527,521,444
312,537,523,511
320,540,523,522
328,541,522,465
336,551,525,587
345,543,522,478
352,547,524,543
360,544,524,586
368,531,522,445
375,527,525,563
385,508,522,446
391,500,523,485
400,488,524,553
408,476,522,435
416,479,525,534
424,469,522,477
432,474,524,542
440,471,524,487
448,471,522,435
456,484,525,582
464,474,522,460
473,482,525,499
480,482,524,519
488,483,522,435
495,495,526,566
504,490,522,432
512,499,524,510
520,499,524,539
528,496,522,484
536,505,526,610
544,496,522,404
552,506,525,533
561,505,523,514
568,501,522,448
576,510,526,633
584,499,522,455
592,508,525,581
601,504,524,517
608,502,523,407
615,509,526,568
624,501,522,407
632,507,525,524
641,503,524,512
648,502,523,461
656,511,526,586
664,500,522,480
672,508,525,557
680,504,524,550
688,503,523,509
696,511,526,584
704,502,523,411
712,509,525,461
720,506,524,474
729,506,523,452
735,514,526,576
744,512,523,468
751,522,525,545
760,516,524,567
769,518,524,548
776,529,526,606
784,518,523,449
792,520,525,474
800,507,524,454
808,498,523,438
817,503,526,580
824,497,523,471
832,501,526,589
840,494,525,555
848,495,524,411
856,505,527,526
864,500,523,413
871,509,526,610
880,500,525,490
888,482,524,450
897,497,527,596
904,547,523,488
912,639,526,604
920,720,525,517
928,717,524,507
936,582,527,529
944,483,524,389
952,445,526,506
960,448,525,574
968,465,524,472
975,479,527,520
985,476,524,433
992,484,527,584
1000,481,525,607
1008,485,525,440
1016,496,527,528
1025,490,524,392
1032,496,526,513
1040,497,525,506
1048,499,525,482
1056,506,527,589
1064,500,524,490
1073,511,527,596
1080,511,526,570
1088,513,525,467
1095,523,527,595
1104,516,524,409
1113,525,528,564
1120,526,526,518
1128,534,525,469
1136,546,528,582
1144,541,524,437
1153,550,527,551
1160,544,526,555
1168,541,525,485
1176,541,528,599
1184,524,525,556
1192,518,528,497
1199,502,526,485
1208,486,525,436
1215,484,528,548
1224,472,525,427
1232,477,528,530
1241,466,526,466
1248,468,526,471
1256,473,528,563
1264,467,525,445
1272,477,528,563
1281,474,526,509
1288,477,526,516
1296,487,528,563
1304,480,525,450
1312,492,528,564
1319,490,526,481
1329,494,526,443
1336,498,528,542
1344,493,525,444
1352,504,528,582
1360,499,526,486
1369,503,527,485
1376,509,529,627
1384,502,525,397
1392,510,528,537
1400,506,526,461
1409,503,526,485
1416,507,529,545
1424,501,525,445
1432,509,528,529
1439,500,526,483
1448,503,526,469
1455,512,529,623
1464,497,525,449
1472,512,529,589
1480,505,526,500
1488,505,527,506
1497,510,528,586
1504,501,525,431
1512,510,529,580
1520,503,526,465
1528,505,526,452
1537,508,528,541
1544,501,525,422
1552,515,529,554
1559,513,526,538
1568,520,527,511
1575,525,529,608
1585,516,525,509
1592,529,529,674
1600,522,526,395
1608,519,527,410
1616,514,528,538
1625,498,525,446
1632,505,528,544
1640,498,526,484
1648,502,526,491
1656,504,528,564
1665,498,525,471
1672,504,529,646
1680,502,527,478
1688,503,527,501
1695,506,529,633
1704,482,525,354
1713,494,529,599
1720,534,527,502
1728,635,527,490
1736,713,528,613
1744,719,525,438
1753,602,529,559
1760,481,526,496
1768,441,526,445
1776,449,528,545
1784,461,525,437
1793,479,529,546
1800,476,527,479
1808,480,527,522
1815,488,529,572
1824,481,526,416
1832,493,529,576
1840,489,527,546
1848,494,527,528
1856,500,529,607
1864,495,526,441
1872,507,529,620
1881,500,526,469
1888,505,527,495
1896,513,529,509
1904,507,526,357
1912,524,530,595
1921,520,526,514
1928,526,527,448
1935,532,529,559
1944,531,526,472
1951,548,529,620
1960,541,526,515
1969,548,528,524
1976,550,529,548
1984,539,526,405
1992,540,530,607
2000,526,527,489
2009,518,528,523
2016,506,529,558
2024,491,526,408
2032,492,530,596
2040,476,527,513
2049,476,528,450
2055,476,530,526
2064,469,527,443
2071,481,530,505
2080,480,527,437
2088,479,529,532
2096,482,530,594
2104,478,527,425
2112,490,531,574
2120,486,528,476
2128,495,529,472
2137,498,530,548
2144,490,527,537
2152,510,531,617
2160,502,528,523
2168,500,529,422
2176,502,530,504
2184,498,527,405
2191,509,531,569
2200,504,528,464
2208,511,530,520
2216,510,530,584
2225,506,528,487
2232,512,531,627
2240,516,528,598
2248,516,529,450
2256,503,530,456
2265,500,528,368
2272,511,532,564
2280,502,529,438
2288,507,530,501
2295,508,531,553
2305,509,528,502
2312,524,532,607
2320,514,529,553
2328,517,530,498
2336,521,531,475
2344,522,529,396
2352,525,532,569
2360,509,529,488
2368,505,530,506
2376,501,531,530
2384,500,529,433
2393,505,533,592
2399,495,529,516
2408,505,531,580
2415,507,532,549
2424,505,529,459
2433,508,533,563
2440,497,529,444
2448,498,531,489
2456,491,532,534
2464,515,529,412
2472,603,533,575
2481,663,529,494
2488,704,531,573
2496,672,531,544
2504,555,529,430
2512,474,533,586
2520,437,529,466
2528,448,531,535
2535,466,532,547
2544,470,529,488
2552,480,533,714
2561,472,529,363
2568,488,531,424
2576,487,532,482
2584,487,529,415
2592,501,533,589
2600,491,529,466
2608,500,531,511
2616,500,532,570
2624,495,530,484
2632,509,534,701
2639,501,530,503
2649,516,532,405
2656,516,532,459
2664,516,530,402
2672,523,534,580
2680,517,530,442
2689,532,533,559
2696,533,533,580
2704,529,530,463
2712,540,534,621
2720,531,530,460
2728,540,533,548
2737,534,532,555
2743,525,530,448
2752,525,534,589
2759,507,530,448
2768,510,533,537
2777,494,532,511
2784,490,530,436
2792,493,535,593
2800,478,531,444
2808,488,533,549
2817,483,532,544
2824,483,531,432
2832,495,535,585
2840,482,531,418
2848,490,533,586
2856,491,532,649
2863,489,531,339
2872,502,535,473
2880,493,531,374
2888,504,533,530
2896,497,532,610
2905,502,531,410
2912,512,535,512
2920,502,531,388
2928,512,534,518
2936,507,533,547
2945,506,531,479
2952,515,535,766
2960,501,531,570
2968,511,534,415
2976,509,533,372
2983,509,531,322
2993,520,535,531
3000,511,531,409
3008,519,534,527
3016,517,533,511
3024,525,532,459
3033,529,535,609
3040,511,531,473
3048,515,534,597
3056,500,533,535
3064,497,532,460
3073,505,536,599
3080,492,532,445
3088,506,534,531
3096,501,533,588
3103,499,532,459
3112,509,536,547
3121,502,532,405
3128,508,535,516
3136,494,533,482
3144,502,532,424
3152,571,536,580
3161,625,532,438
3168,682,535,585
3176,697,534,553
3184,615,533,421
3192,528,536,577
3201,449,532,417
3207,444,535,558
3216,448,534,497
3223,464,533,420
3232,476,536,695
3240,469,532,462
3248,484,535,465
3256,479,534,446
3264,483,533,415
3272,494,536,602
3280,486,532,453
3289,502,536,578
3296,496,535,543
3304,499,533,448
3312,507,537,611
3320,498,533,497
3328,514,536,580
3336,508,534,527
3343,510,533,484
3352,521,537,560
3360,511,533,400
3368,528,537,554
3377,519,534,518
3384,524,533,489
3392,533,537,596
3400,527,533,462
3408,535,537,622
3417,525,535,501
3424,523,534,448
3432,524,537,616
3440,506,533,449
3447,514,537,601
3457,502,534,519
3463,501,534,416
3472,499,537,539
3480,480,533,411
3488,493,537,562
3496,482,535,511
3504,484,534,413
3512,495,537,503
3520,490,534,356
3528,511,537,544
3536,504,535,547
3545,505,535,442
3552,502,538,596
3560,486,534,436
3567,499,537,579
3576,489,535,485
3584,493,535,442
3592,504,538,560
3600,494,534,406
3608,515,537,565
3616,504,535,604
3624,505,535,442
3633,511,537,545
3640,503,534,471
3648,521,538,510
3656,526,535,465
3664,537,535,456
3673,538,538,566
3680,511,534,415
3688,520,538,628
3696,514,535,475
3703,518,535,468
3713,508,538,547
3720,494,534,454
3728,506,538,493
3736,494,536,395
3744,516,536,403
3752,528,538,568
3760,501,535,454
3768,506,538,538
3776,505,536,473
3784,503,536,664
3792,504,538,508
3801,487,535,323
3808,504,538,451
3816,549,536,415
3823,618,536,458
3832,666,538,563
3841,688,535,508
3848,655,539,670
3856,531,536,427
3864,467,536,463
3872,437,539,860
3880,443,535,202
3889,473,539,401
3896,472,536,408
3904,505,537,424
3912,495,539,560
3920,462,535,482
3929,475,539,563
3936,472,536,491
3943,483,536,589
3952,499,539,714
3959,490,536,322
3969,507,540,704
3976,497,536,440
3984,498,537,315
3992,519,539,483
4000,500,536,379
4008,517,540,580
4016,513,537,558
4024,519,537,516
4032,518,540,680
4040,510,536,519
4048,530,540,608
4057,523,537,374
4063,535,537,394
4072,536,539,552
4080,525,536,441
4088,522,540,605
4097,510,536,507
4104,509,537,609
4112,506,539,598
4120,499,536,461
4128,505,541,570
4136,489,537,403
4145,491,538,427
4152,491,540,542
4160,483,536,416
4168,497,540,545
4176,494,537,488
4184,494,538,461
4192,498,540,611
4199,483,536,504
4208,500,541,590
4216,486,537,464
4225,508,538,525
4232,515,540,562
4240,503,537,386
4248,534,541,497
4256,496,537,417
4264,495,539,530
4272,505,540,590
4280,504,537,547
4288,520,541,628
4296,515,538,494
4303,519,538,459
4313,521,540,472
4319,515,537,382
4328,526,541,543
4336,505,537,473
4344,507,539,542
4353,503,540,605
4360,485,537,467
4368,494,541,625
4376,487,538,501
4384,499,539,508
4392,504,540,660
4401,497,537,330
4408,508,541,511
4416,493,538,445
4423,495,539,504
4432,490,540,558
4440,504,537,452
4448,577,542,627
4456,635,538,467
4464,700,539,617
4472,698,540,539
4481,583,538,376
4488,494,542,594
4496,437,538,463
4504,440,540,477
4512,456,541,551
4520,463,538,485
4528,477,542,622
4536,470,538,437
4544,481,539,621
4552,482,541,536
4559,481,538,366
4569,495,542,581
4576,485,538,444
4584,494,540,495
4592,497,540,567
4600,495,538,476
4609,507,542,678
4616,498,539,508
4624,510,540,607
4632,510,541,622
4640,506,538,388
4648,521,542,509
4657,511,538,430
4663,519,540,505
4672,522,541,531
4679,516,538,405
4688,530,543,636
4697,519,538,492
4704,527,540,507
4712,523,541,664
4720,515,538,438
4728,521,543,554
4737,505,538,448
4744,502,540,530
4752,495,541,506
4760,487,538,380
4768,496,543,565
4776,479,538,491
4784,487,540,490
4792,490,541,545
4799,485,538,557
4808,497,543,517
4815,488,539,405
4825,498,541,472
4832,497,541,474
4840,495,538,406
4848,506,543,574
4856,495,539,421
4865,508,541,553
4872,504,541,540
4880,500,539,486
4888,514,543,560
4896,501,539,381
4904,511,541,494
4913,507,540,524
4919,508,539,432
4928,522,543,592
4935,508,539,455
4944,518,541,566
4953,519,541,547
4960,518,539,415
4968,520,543,589
4976,501,539,531
4984,501,542,544
4993,492,541,491
5000,489,539,403
5008,500,543,662
5016,486,539,510
5024,497,541,455
5032,495,541,504
5039,490,539,452
5048,504,543,595
5055,494,539,452
5064,496,542,541
5072,480,541,609
5081,494,539,472
5088,570,543,607
5096,641,539,512
5104,731,542,603
5112,717,541,628
5121,561,540,410
5128,487,543,542
5136,435,539,414
