TimeStamp,ECG Data,GSR Data
20,502,65524
26,481,65524
33,459,65524
40,489,65524
46,521,65524
53,544,65524
60,531,65524
66,522,65524
73,539,65524
80,529,65524
87,521,65524
93,491,65524
99,425,65524
106,438,65524
113,509,65524
120,556,65524
126,588,65524
133,590,65524
140,559,65524
146,538,65524
153,508,65524
160,500,65524
166,509,65524
173,503,65524
180,500,65524
186,475,65524
193,488,65524
200,488,65524
206,501,65524
214,496,65524
220,500,65524
226,493,65524
233,492,65524
240,492,65524
245,520,65524
253,544,65524
261,518,65524
266,492,65524
273,488,65524
280,481,65524
286,433,65524
293,446,65524
301,498,65524
306,505,65524
313,519,65524
320,543,65524
326,513,65524
332,499,65524
340,533,65524
346,530,65524
353,508,65524
360,489,65524
366,495,65524
373,493,65524
380,502,65524
387,450,65524
393,500,65524
400,569,65524
406,549,65524
413,522,65524
420,514,65524
427,520,65524
433,504,65524
440,488,65524
446,447,65524
453,372,65524
460,286,65524
466,298,65524
474,422,65524
480,490,65524
486,566,65524
493,581,65524
500,582,65524
505,571,65524
514,541,65524
520,521,65524
526,529,65524
533,524,65524
540,517,65524
546,525,65524
553,507,65524
560,475,65524
566,435,65524
573,474,65524
580,530,65524
586,523,65524
592,514,65524
601,520,65524
606,535,65524
613,540,65524
620,525,65524
626,513,65524
633,477,65524
641,453,65524
646,456,65524
653,495,65524
660,468,65524
666,465,65524
673,491,65524
680,508,65524
687,532,65524
692,522,65524
700,530,65524
706,515,65524
713,494,65524
720,467,65524
727,461,65524
733,450,65524
740,446,65524
746,377,65524
753,367,65524
760,553,65524
766,617,65524
773,607,65524
779,608,65524
786,592,65524
793,570,65524
800,549,65524
806,525,65524
814,510,65524
820,519,65524
826,522,65524
833,523,65524
840,496,65524
846,459,65524
854,439,65524
860,487,65524
865,555,65524
873,607,65524
880,613,65524
886,590,65524
893,569,65524
900,546,65524
906,527,65524
913,515,65524
920,507,65524
926,506,65524
933,485,65524
941,481,65524
946,482,65524
953,458,65524
960,428,65524
966,501,65524
973,583,65524
980,603,65524
986,585,65524
993,561,65524
1000,537,65524
1006,524,65524
1013,510,65524
1020,499,65524
