TimeStamp,ECG Data,GSR Data,EMG Data
0,507,18,613
6,509,18,617
13,508,18,615
20,508,18,751
26,509,18,880
33,508,18,950
40,509,18,956
46,509,18,946
53,507,18,911
60,509,18,863
65,510,18,875
73,509,18,821
80,509,18,815
87,510,18,821
93,509,18,789
100,509,18,843
106,510,18,812
113,509,18,750
120,510,18,768
126,510,18,817
133,509,18,774
140,510,18,658
146,510,18,656
153,509,18,701
160,509,18,713
166,510,18,680
174,509,18,606
179,510,18,549
186,511,18,572
193,509,18,535
200,510,18,531
206,510,19,609
212,509,19,674
220,510,19,650
226,510,19,613
233,508,19,625
240,509,19,545
246,510,19,522
253,508,19,486
260,509,19,440
266,510,19,481
273,509,19,511
280,510,19,568
286,511,19,526
292,509,19,460
301,510,19,535
306,510,19,563
313,509,19,478
320,510,19,466
325,510,19,495
333,509,19,521
340,510,19,495
346,510,19,375
353,509,19,461
359,509,19,492
366,510,19,472
373,509,19,532
380,510,19,543
387,510,19,521
393,509,19,468
400,510,20,425
406,510,20,461
413,508,20,471
420,510,20,402
427,510,20,440
433,509,20,477
440,510,20,410
446,510,20,591
453,509,20,584
460,510,20,471
466,511,20,428
473,509,20,516
480,510,20,515
486,510,20,459
493,509,20,359
500,509,20,459
506,510,20,493
514,509,20,536
520,509,20,547
526,510,20,507
533,509,20,473
540,510,20,413
546,511,20,406
553,509,20,380
560,510,20,300
566,511,20,231
573,509,20,451
580,510,20,379
586,510,20,368
593,509,20,440
601,510,20,435
606,510,20,386
613,509,21,450
619,510,21,464
626,510,21,409
633,508,21,354
641,509,21,431
646,510,21,431
652,508,21,544
660,509,21,488
666,510,21,481
673,508,21,469
680,510,21,433
687,511,21,388
693,509,21,425
700,510,21,434
706,510,21,410
713,509,21,316
720,509,21,353
727,509,21,506
733,508,21,483
740,509,21,403
746,511,21,431
753,509,21,478
760,510,21,455
765,510,21,420
773,508,21,382
780,509,21,360
786,510,21,383
793,508,21,358
800,510,21,372
806,510,21,391
814,509,21,425
820,509,21,404
826,510,21,447
833,508,21,441
840,510,21,415
846,510,21,388
854,509,21,336
860,510,21,305
866,510,21,308
873,508,21,370
880,510,21,414
886,510,21,454
893,509,21,469
901,510,21,448
906,510,21,452
912,509,21,458
920,510,21,393
926,510,21,400
933,508,21,415
941,509,21,336
946,510,21,374
953,509,21,458
960,510,21,485
966,511,21,439
973,509,21,510
980,510,21,448
986,510,21,412
993,509,21,395
1000,510,21,326
1006,510,21,410
1013,509,21,464
1020,510,22,390
1027,511,22,379
1033,509,22,370
1040,510,22,361
1046,510,22,435
1053,508,22,452
1059,509,22,498
1067,510,22,471
1073,509,22,434
1080,510,22,404
1086,510,22,432
1092,509,22,404
1100,509,22,336
1106,510,22,392
1114,509,22,414
1120,510,22,392
1126,510,22,450
1133,508,22,474
1140,510,22,404
1146,510,22,374
1154,509,22,415
1160,510,22,399
1166,510,22,378
1173,509,22,375
1180,509,22,383
1186,510,22,436
1193,509,22,384
1200,510,22,355
1205,510,22,391
1213,509,22,473
1220,510,22,418
1226,510,22,446
1233,509,22,452
1241,510,22,377
1246,510,22,391
1253,509,22,349
1260,510,22,337
1266,511,22,416
1273,509,22,404
1281,510,22,339
1286,510,22,306
1293,509,22,518
1300,510,22,482
1306,510,22,435
1313,508,22,376
1320,510,22,348
1327,510,22,286
1333,508,22,335
1340,510,22,453
1346,510,22,412
1352,509,22,382
1360,510,22,409
1367,511,22,457
1373,509,22,435
1380,509,22,322
1385,510,22,333
1393,509,22,419
1400,510,22,346
1406,510,22,456
1413,509,22,416
1419,509,22,423
1426,510,22,405
1433,508,22,367
1440,510,22,458
1446,510,22,474
1454,509,22,382
1460,509,22,392
1466,510,22,464
1473,508,22,534
1480,510,22,445
1486,510,22,386
1494,509,22,341
1500,510,22,415
1506,510,22,532
1513,509,22,529
1520,510,22,418
1526,510,22,371
1533,508,22,564
1541,509,22,535
1546,510,22,485
1553,508,22,438
1560,510,22,381
1565,510,22,488
1573,508,22,475
1581,509,22,328
1586,510,22,316
1593,509,22,373
1599,511,22,420
1606,511,22,485
1613,509,22,488
1620,510,22,418
1626,511,22,391
1633,509,22,543
1640,510,22,464
1646,510,22,480
1653,509,22,485
1660,510,22,424
1667,510,22,551
1673,509,22,541
1680,510,22,450
1686,510,22,447
1693,509,22,456
1700,510,22,402
1707,510,22,412
1713,509,22,450
1720,510,22,447
1726,510,22,436
1733,509,22,399
1740,510,22,488
1745,510,22,508
1754,508,22,498
1760,510,22,477
1766,510,22,458
1773,509,22,411
1779,510,22,347
1786,510,22,382
1794,509,22,420
1800,510,22,419
1806,510,22,528
1813,508,22,522
1820,510,22,438
1826,510,22,416
1833,509,22,438
1840,509,22,449
1846,510,22,442
1853,509,22,458
1860,509,22,358
1866,510,22,388
1873,508,22,515
1881,509,22,467
1886,510,22,465
1893,508,22,496
1900,510,22,478
1906,510,22,451
1913,509,22,510
1921,510,22,584
1925,510,22,580
1933,508,22,515
1940,510,22,497
1946,510,22,558
1953,508,22,469
1960,510,22,468
1966,511,22,544
1973,509,22,589
1980,510,22,544
1986,510,22,507
1993,508,22,473
2000,510,22,489
2007,510,22,518
2013,508,22,486
2020,510,22,541
2026,510,22,590
2033,508,22,502
2040,510,22,476
2046,510,22,575
2053,509,22,505
2060,510,21,480
2066,510,21,485
2072,509,21,455
2080,510,21,579
2086,510,21,548
2094,509,21,452
2100,510,21,474
2105,510,21,525
2113,508,21,522
2120,510,21,566
2126,510,21,550
2134,508,21,534
2140,509,21,460
2146,510,21,450
2153,508,21,486
2160,509,21,586
2166,509,21,529
2173,508,21,487
2180,510,21,585
2186,510,21,666
2193,509,21,583
2200,510,21,555
2206,510,21,571
2213,508,21,516
2220,510,21,517
2226,510,21,541
2233,509,21,530
2240,510,21,572
2246,510,21,543
2252,509,21,571
2260,510,21,566
2266,510,21,609
2273,508,21,558
2280,509,21,511
2286,510,21,548
2293,508,21,572
2300,509,21,546
2307,510,21,577
2313,508,21,572
2320,510,21,532
2326,510,21,530
2333,508,21,524
2340,510,21,516
2347,510,21,538
2353,508,21,533
2360,510,21,510
2365,509,21,516
2373,509,21,419
2380,510,21,429
2386,510,21,461
2394,508,21,580
2400,510,21,615
2406,510,21,643
2413,509,21,631
2420,510,21,527
2426,511,21,520
2434,509,21,485
2440,510,21,423
2446,510,21,361
2453,509,21,439
2460,510,21,503
2466,510,21,619
2473,509,21,635
2480,510,21,586
2486,510,21,523
2493,508,21,473
2500,510,21,626
2506,510,21,620
2512,509,21,497
2521,510,21,399
2526,510,21,576
2533,508,21,669
2540,509,21,638
2545,510,21,593
2553,508,21,562
2561,510,21,484
2566,510,21,492
2573,508,21,566
2580,510,21,541
2586,510,21,501
