TimeStamp,ECG Data,GSR Data
1663834,504,512
1663840,505,512
1663846,507,512
1663853,508,512
1663860,509,512
1663806,506,513
1663812,506,513
1663820,505,512
1663826,506,512
1663834,504,512
1663840,505,512
1663846,507,512
1663853,508,512
1663860,509,512
0,487,504
6,489,503
13,492,502
20,494,502
26,496,502
33,497,501
40,498,501
47,499,500
53,496,500
60,476,500
66,459,500
73,481,499
79,557,499
87,641,499
93,708,499
100,751,499
105,698,499
113,554,498
120,445,498
126,412,498
134,427,498
140,447,498
146,461,497
153,471,497
160,483,497
166,486,497
174,484,497
180,487,497
186,491,497
193,493,497
200,495,496
206,496,496
214,497,496
219,493,496
226,489,496
233,493,496
240,501,496
245,505,495
253,511,495
261,515,495
266,518,495
272,521,495
280,527,495
286,531,495
293,532,494
301,532,494
306,534,494
313,536,494
320,537,494
326,529,494
333,522,494
340,517,494
347,510,494
353,503,494
360,503,493
366,504,493
373,496,493
380,486,493
387,482,493
393,476,493
400,481,493
406,485,493
412,484,493
420,488,493
427,489,493
433,491,493
439,496,493
446,501,493
453,501,492
460,499,492
465,507,492
474,503,492
480,496,492
486,496,492
492,499,492
500,503,492
506,506,492
514,505,492
520,506,492
526,509,492
533,508,492
540,506,491
546,508,492
553,507,491
561,507,492
566,505,491
573,507,491
580,510,491
586,514,491
593,518,491
601,522,491
606,524,491
613,528,491
620,534,491
626,531,491
632,517,491
641,505,491
646,501,491
653,499,491
659,499,491
666,493,491
673,492,491
680,495,490
686,496,490
693,498,490
700,500,490
706,500,490
712,499,490
720,498,490
727,495,490
733,475,490
740,457,490
746,471,490
753,540,490
760,641,490
766,720,490
773,762,490
780,697,490
786,563,490
793,453,490
800,416,490
806,422,490
814,456,490
820,467,489
826,468,490
833,473,490
840,481,489
846,484,489
854,486,490
860,490,490
866,494,490
873,500,489
879,502,490
886,504,489
893,505,489
901,503,490
906,504,489
913,507,489
920,512,489
926,516,489
932,519,489
941,522,489
946,526,489
953,530,489
959,530,489
966,532,489
973,536,489
980,537,489
985,535,489
993,534,489
1000,532,489
1006,526,489
1012,518,489
1020,511,489
1027,506,489
1033,499,489
1039,494,489
1046,496,489
1053,488,489
1060,483,489
1067,484,489
1073,484,489
1080,484,489
1086,487,489
1093,489,489
1100,491,489
1106,494,489
1114,495,489
1120,497,489
1126,501,489
1133,503,489
1140,500,489
1146,501,489
1154,504,489
1160,503,489
1166,500,489
1173,502,489
1180,503,489
1186,504,489
1193,505,489
1201,506,489
1206,506,489
1213,507,489
1220,507,489
1226,509,489
1232,508,489
1241,504,489
1246,503,489
1253,507,489
1259,512,489
1266,514,489
1273,514,489
1281,520,489
1285,525,489
1293,530,489
1300,534,489
1306,529,489
1312,520,489
1320,510,489
1327,501,489
1333,496,489
1339,496,489
1346,494,489
1353,492,489
1360,491,489
1367,492,489
1373,494,489
1380,496,489
1386,499,489
1393,501,489
1400,502,489
1406,501,489
1414,480,489
1420,454,489
1426,457,489
1433,522,489
1440,627,489
1446,713,489
1454,770,489
1460,714,489
1466,576,489
1473,455,489
1480,417,489
1486,426,489
1494,456,489
1500,470,489
1506,476,489
1513,476,489
1520,474,489
1526,479,489
1532,484,489
1541,489,489
1546,491,489
1553,494,489
1559,497,489
1566,502,489
1573,506,489
1581,506,489
1585,506,489
1593,510,489
1600,510,489
1606,514,489
1612,514,489
1620,517,489
1627,522,489
1633,527,489
1639,530,489
1646,533,489
1653,537,489
1660,544,489
1667,540,489
1673,534,489
1680,530,489
1686,527,489
1693,521,489
1700,514,489
1707,508,489
1713,504,489
1720,497,489
1726,493,489
1733,489,489
1740,487,489
1746,487,489
1754,489,489
1760,490,489
1766,490,489
1773,490,489
1780,493,489
1786,494,489
1794,493,489
1800,494,489
1806,496,489
1813,499,489
1820,501,489
1826,503,489
1832,504,489
1841,504,489
1846,505,489
1853,507,489
1859,509,489
1866,507,489
1873,508,489
1881,503,489
1885,502,489
1893,503,489
1900,501,489
1906,502,489
1912,503,489
1921,504,489
1926,504,490
1933,505,489
1939,506,489
1946,511,489
1953,516,490
1960,515,490
1967,518,490
1973,523,490
1980,530,490
1986,533,490
1993,529,490
2000,521,490
2007,513,490
2013,504,490
2020,498,490
2026,497,490
2033,496,490
2040,494,490
2046,493,490
2053,492,490
2060,492,490
2066,494,490
2073,495,490
2079,497,490
2086,499,490
2094,498,490
2100,481,490
2106,460,490
2113,457,490
2120,519,490
2126,608,490
2132,691,490
2140,759,490
2146,733,490
2153,583,490
2159,472,490
2166,423,490
2173,421,490
2181,450,490
2185,462,490
2193,471,490
2200,476,491
2206,481,490
2212,483,490
2221,487,490
2226,489,490
2233,492,490
2240,496,490
2246,500,490
2253,499,490
2260,500,491
2267,505,490
2273,506,490
2280,507,490
2286,509,490
2293,513,490
2300,517,490
2307,520,490
2313,522,490
2320,526,491
2326,529,491
2333,533,491
2340,535,490
2347,534,490
2353,534,490
2360,534,490
2366,532,490
2373,528,490
2379,523,491
2386,516,491
2394,508,490
2400,502,491
2406,497,490
2413,492,490
2420,489,490
2426,488,490
2433,486,491
2440,486,490
2446,487,491
2453,488,490
2459,490,491
2466,491,490
2473,493,490
2481,494,491
2485,495,490
2493,501,491
2500,499,490
2506,498,490
2512,499,490
2521,502,490
2526,502,490
2533,503,490
2540,503,490
2546,503,490
2553,506,490
2561,506,490
2566,505,490
2573,506,490
2580,507,491
2586,508,490
2593,504,490
2600,504,490
2607,507,490
2613,505,490
2620,504,491
2626,504,490
2633,509,491
2640,514,490
2647,516,491
2653,514,490
2660,518,491
2666,527,491
2673,532,491
2679,535,490
2686,529,490
2694,517,490
2700,510,490
2706,504,490
2713,499,491
2720,499,491
2726,497,490
2733,492,491
2740,492,490
2746,495,491
2753,497,491
2759,496,491
2766,497,491
2774,498,490
2780,500,491
2785,497,490
2793,476,490
2800,457,490
2806,473,490
2812,542,490
2821,639,491
2826,708,491
2833,763,491
2839,687,491
2846,554,491
2853,445,491
2861,413,491
2866,428,491
2873,457,491
2880,472,491
2886,478,491
2893,481,491
2900,483,491
2907,488,491
2913,491,491
2920,494,491
2926,496,491
2933,498,491
2940,499,491
2947,500,491
2953,502,491
2960,506,491
2966,508,491
2973,509,491
2980,512,491
2987,517,491
2993,521,491
3000,523,491
3006,523,491
3013,526,491
3020,530,491
3026,532,491
3033,535,491
3040,536,491
3046,537,491
3053,535,491
3059,532,491
3066,528,491
3074,521,491
3080,515,491
3085,509,491
3093,500,491
3100,493,491
3106,490,491
3112,486,491
3121,485,491
3126,485,491
3133,485,491
3140,486,491
3146,487,491
3153,490,491
3161,492,491
3166,493,491
3173,496,491
3180,500,491
3186,500,491
3193,500,491
3201,499,491
3206,499,491
3213,500,491
3220,502,491
3226,503,491
3233,503,491
3240,504,491
3247,504,491
3253,504,491
3260,504,491
3266,505,491
3273,505,491
3280,504,491
3287,504,491
3293,503,491
3300,501,491
3306,501,491
3313,505,491
3320,509,491
3326,511,491
3332,513,491
3340,518,491
3346,526,491
3353,531,491
3359,533,491
3366,527,491
3374,516,491
3380,510,491
3385,503,491
3393,498,491
3400,495,491
3406,495,491
3412,495,491
3420,495,491
3426,495,491
3433,496,491
3440,496,491
3446,497,491
3453,498,491
3461,499,491
3466,493,491
3473,474,491
3480,458,491
3486,480,491
3493,569,491
3501,649,491
3506,716,491
3513,752,491
3520,636,491
3526,530,491
3533,436,491
3540,415,491
3547,439,491
3553,462,491
3560,476,491
3566,480,491
3573,484,491
3579,487,491
3587,488,491
3593,491,491
3600,494,491
3605,492,491
3613,495,491
3620,501,491
3627,505,491
3632,504,491
3640,505,491
3646,510,491
3653,514,491
3659,516,491
3666,518,491
3674,521,490
3680,523,491
3686,527,491
3693,530,490
3700,530,491
3706,531,490
3714,534,490
3720,535,490
3726,535,491
3733,534,490
3740,530,490
3746,525,490
3753,517,490
3761,511,490
3766,506,490
3773,500,490
