TimeStamp,ECG Data,GSR Data
290267,528,600
290273,530,600
290280,531,600
290286,527,600
290293,519,601
0,505,613
6,499,611
13,496,611
20,494,611
26,494,610
33,496,610
40,497,610
47,496,610
53,497,610
60,499,609
66,500,609
73,500,609
79,498,609
87,489,608
93,474,608
100,472,608
105,498,608
113,585,608
120,677,608
126,751,608
134,728,608
140,619,608
146,494,607
153,423,607
160,418,607
166,442,607
174,467,607
180,475,607
186,479,607
193,481,607
200,486,607
206,491,607
214,493,607
219,493,607
226,493,607
233,498,607
240,500,607
245,503,607
253,510,607
261,512,607
266,509,607
272,508,607
280,513,607
286,518,607
293,521,607
301,523,607
306,527,607
313,532,607
320,537,607
326,538,607
333,540,607
340,541,607
347,540,607
353,538,607
360,532,607
366,524,607
373,516,607
380,509,607
387,500,607
393,489,607
400,482,607
406,481,607
412,478,607
420,478,607
427,479,607
433,481,607
439,484,607
446,485,607
453,486,607
460,487,607
465,488,607
474,491,607
480,491,607
486,493,607
492,496,607
500,501,607
506,503,607
514,502,607
520,502,607
526,501,607
533,502,607
540,504,607
546,504,607
553,504,607
561,506,607
566,506,607
573,507,607
580,507,607
586,507,607
593,505,607
601,504,607
606,504,607
613,504,607
620,504,607
626,504,607
632,505,607
641,509,607
646,512,607
653,513,607
659,515,607
666,518,608
673,523,608
680,527,608
686,531,608
693,528,608
700,518,608
706,512,608
712,503,608
720,497,608
727,496,608
733,495,608
740,496,608
746,495,608
753,495,608
760,496,608
766,499,608
773,499,608
780,500,608
786,498,608
793,496,608
800,488,608
806,471,608
814,463,608
820,504,608
826,574,608
833,662,608
840,740,608
846,739,608
854,622,608
860,501,608
866,434,608
873,416,608
879,439,608
886,463,608
893,479,608
901,485,608
906,481,608
913,480,608
920,486,608
926,490,608
932,490,608
941,495,608
946,502,608
953,510,608
959,505,608
966,499,609
973,503,609
980,505,609
985,507,608
993,512,609
1000,515,609
1006,518,609
1012,525,609
1020,530,609
1027,533,609
1033,538,609
1039,544,609
1046,540,609
1053,536,609
1060,538,609
1067,538,609
1073,534,609
1080,523,609
1086,514,609
1093,503,609
1100,500,609
1106,490,609
1114,483,609
1120,481,609
1126,482,609
1133,487,609
1140,481,609
1146,476,609
1154,479,609
1160,480,609
1166,480,609
1173,483,609
1180,486,609
1186,492,609
1193,494,610
1201,495,610
1206,496,610
1213,498,610
1220,500,610
1226,502,610
1232,504,610
1241,505,610
1246,505,610
1253,506,610
1259,508,610
1266,508,610
1273,508,610
1281,507,610
1285,507,610
1293,508,610
1300,509,610
1306,512,610
1312,514,611
1320,517,610
1327,518,611
1333,521,611
1339,525,611
1346,529,611
1353,530,611
1360,522,611
1367,517,611
1373,513,611
1380,502,611
1386,495,611
1393,495,611
1400,495,611
1406,493,612
1414,498,612
1420,500,612
1426,497,612
1433,495,612
1440,499,612
1446,498,612
1454,494,612
1460,497,612
1466,489,612
1473,467,612
1480,462,612
1486,493,612
1494,590,612
1500,678,612
1506,751,612
1513,764,612
1520,619,612
1526,490,612
1532,424,612
1541,410,612
1546,432,612
1553,461,612
1559,475,612
1566,487,612
1573,489,612
1581,475,612
1585,477,612
1593,487,612
1600,483,612
1606,484,612
1612,488,612
1620,496,612
1627,503,613
1633,504,612
1639,510,613
1646,539,612
1653,531,612
1660,530,612
1667,528,612
1673,505,612
1680,500,613
1686,513,612
1693,523,612
1700,528,612
1707,534,612
1713,538,612
1720,539,612
1726,538,613
1733,535,612
1740,530,612
1746,518,613
1754,508,613
1760,503,612
1766,501,613
1773,495,612
1780,490,612
1786,487,612
1794,483,613
1800,481,612
1806,481,612
1813,481,612
1820,484,612
1826,487,612
1832,489,612
1841,490,612
1846,492,612
1853,494,612
1859,494,612
1866,499,612
1873,508,611
1881,495,611
1885,494,611
1893,503,611
1900,498,611
1906,498,611
1912,503,611
1921,505,610
1926,506,610
1933,507,610
1939,506,610
1946,504,610
1953,505,610
1960,507,610
1967,509,610
1973,508,610
1980,506,609
1986,507,609
1993,507,609
2000,508,609
2007,509,609
2013,512,609
2020,523,609
2026,519,609
2033,512,609
2040,519,609
2046,527,609
2053,531,609
2060,533,609
2066,525,609
2073,516,609
2079,507,609
2086,500,609
2094,499,609
2100,499,609
2106,498,609
2113,502,609
2120,504,609
2126,500,609
2132,497,609
2140,491,609
2146,487,609
2153,490,609
2159,498,609
2166,496,609
2173,475,610
2181,459,610
2185,471,610
2193,545,610
2200,649,610
2206,734,610
2212,769,610
2221,664,610
2226,544,610
2233,441,610
2240,414,610
2246,432,610
2253,462,610
2260,474,610
2267,478,610
2273,481,610
2280,484,610
2286,488,610
2293,492,610
2300,495,610
2307,496,610
2313,501,610
2320,505,610
2326,502,610
2333,500,610
2340,503,610
2347,506,610
2353,510,610
2360,514,611
2366,517,610
2373,520,610
2379,524,610
2386,528,610
2394,531,610
2400,535,610
2406,538,610
2413,542,610
2420,542,610
2426,541,610
2433,539,610
2440,535,610
2446,529,610
2453,516,610
2459,507,610
2466,500,610
2473,493,610
2481,487,610
2485,484,610
2493,481,610
2500,480,610
2506,480,610
2512,485,610
2521,485,610
2526,480,610
2533,480,610
2540,484,610
2546,488,610
2553,488,610
2561,490,610
2566,491,610
2573,494,610
2580,496,610
2586,498,610
2593,500,611
2600,502,611
2607,503,611
2613,504,611
2620,504,611
2626,505,611
2633,505,610
2640,506,611
2647,505,611
2653,505,611
2660,506,611
2666,507,611
2673,507,611
2679,505,610
2686,505,611
2694,507,610
2700,507,610
2706,506,611
2713,508,610
2720,512,610
2726,514,610
2733,513,611
2740,518,611
2746,525,610
2753,530,611
2759,532,611
2766,527,611
2774,517,610
2780,512,610
2785,508,610
2793,498,610
2800,494,610
2806,493,610
2812,493,610
2821,494,610
2826,495,610
2833,496,610
2839,497,610
2846,498,610
2853,499,610
2861,499,610
2866,498,610
2873,487,610
2880,466,610
2886,467,610
2893,527,610
2900,611,610
2907,687,610
2913,752,610
2920,714,610
2926,600,610
2933,469,610
2940,417,610
2947,417,610
2953,438,610
2960,463,610
2966,474,610
2973,481,610
2980,486,610
2987,489,610
2993,490,610
3000,491,610
3006,492,610
3013,494,610
3020,496,610
3026,499,610
3033,502,610
3040,505,610
3046,506,610
3053,510,610
3059,514,610
3066,516,610
3074,521,610
3080,524,610
3085,526,610
3093,529,610
3100,532,611
3106,535,611
3112,539,611
3121,540,611
3126,539,611
3133,537,611
3140,533,611
3146,528,611
3153,519,611
3161,511,611
3166,504,611
3173,496,611
3180,491,611
3186,486,611
3193,484,611
3201,481,611
3206,480,611
3213,480,611
3220,482,611
3226,483,611
3233,484,611
3240,486,611
3247,484,611
3253,486,611
3260,489,611
3266,493,611
3273,493,611
3280,495,611
3287,499,611
3293,501,611
3300,502,611
3306,502,611
3313,504,611
3320,506,611
3326,508,611
3332,507,611
3340,504,611
3346,505,611
3353,506,611
3359,506,611
3366,506,611
3374,506,611
3380,506,611
3385,507,611
3393,508,611
3400,508,611
3406,508,611
3412,509,611
3420,507,611
3426,505,611
3433,507,611
3440,511,611
3446,513,611
3453,515,611
3461,518,611
3466,524,611
3473,530,611
3480,534,612
3486,533,612
3493,523,612
3501,515,612
3506,509,612
3513,501,612
3520,496,612
3526,496,612
3533,494,612
3540,492,612
3547,493,612
3553,493,612
3560,493,612
3566,495,612
3573,497,612
3579,499,612
3587,499,612
3593,493,612
3600,472,612
3605,458,612
3613,476,612
3620,562,612
3627,657,613
3632,732,613
3640,774,613
3646,686,613
3653,520,613
3659,437,613
3666,415,613
3674,439,613
3680,460,613
3686,468,613
3693,473,613
3700,476,613
3706,482,613
3714,484,613
3720,485,613
3726,488,613
3733,491,613
3740,493,613
3746,493,613
3753,496,613
3761,500,613
3766,502,613
3773,505,613
3780,511,612
3786,511,612
3793,516,612
3800,521,612
3806,523,612
3813,527,612
3820,531,613
3825,533,612
3833,536,612
3841,538,612
3846,540,612
3852,540,612
3860,536,612
3866,533,612
3873,527,612
3879,517,612
3887,509,612
3893,503,612
3900,494,612
3906,488,612
3913,487,612
3920,483,612
3927,481,612
3933,481,612
3940,480,612
3946,480,612
3953,480,612
3960,482,612
3966,485,612
3974,489,612
3980,491,612
3986,492,612
3992,494,612
4000,496,612
4006,497,612
4014,498,612
4019,501,612
4026,505,612
4033,504,612
4040,503,612
4045,506,612
4054,508,612
4060,504,612
4066,504,612
4073,505,612
4080,506,612
4086,506,612
4093,507,612
4101,507,612
4106,507,612
4113,506,612
4120,508,612
4126,508,612
4133,508,612
4141,511,613
4146,512,612
4153,507,613
4160,503,613
4166,504,613
4173,507,613
4180,508,613
4186,509,613
4193,515,613
4200,517,613
4206,517,613
4212,523,614
4220,531,614
4227,534,614
4233,534,614
4239,526,614
4246,517,614
4253,511,614
4260,502,614
4265,496,614
4273,491,614
4280,492,614
4286,494,614
4292,495,614
4300,494,614
4306,494,614
4314,496,614
4320,497,614
4326,499,614
4333,500,614
4340,494,614
4346,474,614
4354,457,614
4360,471,614
4366,541,614
4373,648,614
4380,731,614
4386,768,614
4393,670,614
4401,515,614
4406,453,614
4413,415,614
4420,436,614
4426,460,614
4432,472,614
4441,476,614
4446,478,614
4453,482,614
4459,485,613
4466,486,613
4473,488,614
4481,495,613
4485,498,613
4493,498,613
4500,498,613
4506,504,613
4512,508,613
4520,508,613
4527,509,613
4533,514,613
4540,517,613
4546,516,613
4553,518,613
4560,524,613
4567,528,613
4573,531,613
4580,534,613
4586,537,613
4593,541,613
4600,542,613
4606,541,613
4614,534,613
4620,527,613
4626,520,613
4633,508,613
4640,498,613
4646,491,613
4653,488,613
4660,485,613
4666,481,613
4673,479,613
4679,480,613
4686,481,613
4694,485,613
4700,484,613
4705,484,613
4713,485,613
4720,488,613
4726,488,613
4733,492,613
4741,492,613
4746,493,613
4753,495,613
4760,497,613
4766,498,613
4773,499,614
4781,502,614
4786,504,613
4793,506,613
4800,506,613
4806,505,613
4813,506,613
4820,505,613
4827,503,614
4833,507,613
4840,507,613
4846,505,613
4853,505,613
4860,504,613
4867,504,614
4872,505,613
4880,505,614
4886,506,613
4893,507,613
4899,507,613
4907,507,613
4913,508,613
4920,511,613
4925,510,614
4933,509,613
4940,508,613
4946,507,613
4954,505,613
4960,508,614
4966,508,613
4973,508,613
4980,510,613
4986,513,614
4994,518,614
5000,518,614
5006,519,613
5013,524,613
5020,531,614
5026,537,614
5033,535,614
5040,527,613
5046,517,614
5053,513,614
5060,503,613
5066,495,614
5073,491,613
5081,494,614
5086,495,613
5092,497,613
5100,498,613
5106,499,613
5113,500,613
5120,500,613
5126,501,613
5133,499,613
5140,480,613
5145,465,613
5153,470,614
5160,536,613
5167,619,613
5172,686,613
5180,759,614
5186,711,613
5193,562,613
5200,453,613
5207,422,613
5213,426,613
5220,454,614
5226,468,613
5233,474,614
5240,479,614
5246,483,614
5254,487,614
5260,491,614
5266,494,614
5273,495,614
5280,496,614
5286,498,614
5294,502,614
5300,505,615
5306,508,614
5313,511,615
5320,514,615
5326,514,615
5334,513,615
5339,514,615
5346,518,615
5353,523,615
5360,529,615
5365,532,615
5373,537,615
5381,540,615
5386,541,615
5392,542,615
5400,541,615
5406,538,615
5413,533,615
5421,526,616
5426,516,615
5433,502,616
5440,493,616
5446,489,616
5453,486,616
5460,479,616
5467,478,616
5473,479,616
5480,481,616
5486,483,616
5493,482,616
5500,486,616
5507,488,616
5513,486,616
5520,485,616
5526,488,616
5533,493,616
5540,496,615
5547,495,615
5553,496,615
5559,499,615
5566,503,615
5573,507,615
5580,503,615
5585,501,615
