TimeStamp,ECG Data,GSR Data
47,502,592
53,498,592
60,496,592
66,495,592
73,498,591
80,499,591
87,498,591
93,501,591
100,503,591
106,503,591
113,502,590
120,501,590
126,502,590
133,497,590
140,477,590
146,470,590
152,500,590
160,590,590
166,674,590
174,760,590
180,764,590
186,674,590
193,520,590
200,439,590
205,421,590
214,438,590
220,459,590
226,468,590
232,471,590
240,474,590
246,477,590
253,481,590
260,483,590
266,485,590
273,489,590
280,493,590
286,495,590
293,499,590
301,503,590
306,505,591
313,505,591
320,506,591
326,508,590
333,513,591
340,517,591
346,516,591
353,517,591
360,521,591
366,524,591
373,529,591
380,531,591
386,532,591
393,532,591
400,530,591
406,528,591
412,525,591
420,519,591
427,513,591
433,506,591
440,499,591
446,493,591
453,489,592
460,486,592
466,485,592
474,483,592
480,484,592
486,485,592
493,486,592
500,486,592
506,487,592
514,489,592
520,490,592
526,492,592
533,494,592
539,496,592
546,498,592
553,500,592
560,501,592
566,502,593
573,504,592
580,505,593
586,506,593
593,506,593
601,505,593
606,506,593
613,506,593
620,507,593
626,507,593
633,507,593
641,507,593
646,507,593
653,507,593
660,507,593
666,506,593
673,506,593
680,506,594
687,506,594
693,505,594
700,504,594
706,504,594
713,505,594
719,504,594
727,504,594
733,505,594
740,507,594
745,507,594
753,509,594
760,506,594
766,504,594
773,504,594
780,504,594
786,503,594
793,504,594
800,507,594
806,506,594
814,505,594
820,508,594
826,511,595
833,510,595
840,509,595
846,511,595
854,517,595
860,522,595
866,519,595
873,514,595
880,517,596
886,526,596
893,531,596
899,529,596
906,523,597
913,514,597
920,506,598
925,506,598
933,503,599
941,501,599
946,501,600
953,499,601
960,501,602
966,503,602
973,500,603
980,499,604
986,499,604
993,501,605
1000,499,606
1006,492,606
1013,465,607
1020,460,608
1027,506,609
1033,580,609
1040,684,610
1046,765,610
1052,766,611
1060,622,612
1067,489,612
1073,430,613
1080,415,613
1086,432,614
1093,450,614
1100,458,615
1106,464,615
1114,470,616
1120,468,616
1126,464,616
1133,466,617
1140,472,617
