TimeStamp,ECG Data,GSR Data,EMG Data
217424,495,65531,497
217433,491,65531,469
217440,495,65531,499
217384,485,65531,498
217392,481,65531,468
217400,486,65531,495
217408,490,65531,475
217415,487,65531,473
217424,495,65531,497
217433,491,65531,469
217440,495,65531,499
217384,485,65531,498
217392,481,65531,468
217400,486,65531,495
217408,490,65531,475
217415,487,65531,473
217424,495,65531,497
217433,491,65531,469
217440,495,65531,499
0,504,65531,474
8,494,65531,467
16,505,65531,496
24,499,65531,474
32,496,65531,495
39,506,65531,488
49,498,65531,484
56,507,65531,506
64,496,65531,480
72,489,65531,497
80,501,65531,485
89,538,65531,496
96,623,65531,549
104,674,65531,564
111,707,65531,618
120,624,65531,605
129,507,65531,570
136,459,65531,554
144,442,65531,499
152,459,65531,504
160,478,65531,483
167,472,65531,474
177,484,65531,490
184,479,65531,467
192,487,65531,488
200,496,65531,478
208,488,65531,477
217,507,65531,498
224,496,65531,477
232,497,65531,498
240,505,65531,488
248,502,65531,487
257,512,65531,507
264,506,65531,486
272,511,65531,507
280,520,65531,498
288,512,65531,499
295,528,65531,522
305,524,65531,501
312,529,65531,523
320,538,65531,514
328,529,65531,515
336,545,65531,534
345,537,65531,515
351,541,65531,536
360,545,65531,526
368,532,65531,523
376,537,65531,538
385,518,65531,512
392,511,65531,528
400,510,65531,509
407,489,65531,498
416,489,65531,508
424,475,65531,479
433,480,65531,496
440,481,65531,477
448,472,65531,472
456,487,65531,489
464,477,65531,465
473,486,65531,489
479,492,65531,476
488,486,65531,474
496,500,65531,495
504,489,65531,472
513,498,65531,497
520,501,65531,482
528,492,65531,481
535,506,65531,503
544,502,65531,481
552,509,65531,507
561,501,65531,488
568,492,65531,487
576,508,65531,505
584,500,65531,483
592,504,65531,507
601,506,65531,488
608,499,65531,489
616,510,65531,507
624,500,65531,484
632,507,65531,508
641,509,65531,490
648,501,65531,492
656,511,65531,509
663,504,65531,486
672,513,65531,512
680,519,65531,496
689,512,65531,502
696,523,65531,518
704,520,65531,496
712,525,65531,523
719,522,65531,505
729,510,65531,506
736,517,65531,520
744,498,65531,490
752,498,65531,511
760,502,65531,489
769,497,65531,493
776,506,65531,505
784,499,65531,483
792,503,65531,507
800,505,65531,488
808,500,65531,493
817,506,65531,503
824,487,65531,480
832,491,65531,501
840,535,65531,492
847,611,65531,528
857,701,65531,586
864,722,65531,606
872,621,65531,627
880,506,65531,570
888,446,65531,535
897,450,65531,516
904,462,65531,481
912,475,65531,500
920,482,65531,476
928,482,65531,481
936,492,65531,490
945,488,65531,469
952,496,65531,497
960,495,65531,476
968,496,65531,486
975,503,65531,498
985,497,65531,476
992,504,65531,505
1000,506,65531,485
1008,504,65531,493
1016,514,65531,505
1025,511,65531,488
1031,516,65531,517
1040,522,65531,498
1048,517,65531,505
1056,530,65531,519
1064,529,65531,502
1073,539,65531,534
1080,543,65531,514
1088,542,65531,526
1096,552,65531,538
1104,546,65531,520
1113,550,65531,550
1120,545,65531,526
1128,530,65531,530
1136,528,65531,535
1144,507,65531,506
1153,500,65531,525
1159,492,65531,494
1168,479,65531,492
1176,481,65531,495
1184,470,65531,467
1192,474,65531,491
1201,475,65531,462
1208,475,65531,472
1215,484,65531,483
1224,478,65531,460
1232,484,65531,489
1241,486,65531,463
1248,483,65531,475
1256,496,65531,486
1264,492,65531,468
1272,498,65531,499
1281,495,65531,473
1288,491,65531,483
1296,502,65531,495
1304,498,65531,475
1312,508,65531,507
1320,504,65531,481
1329,498,65531,498
1336,507,65531,500
1343,498,65531,478
1352,504,65531,508
1360,504,65531,482
1369,501,65531,499
1376,506,65531,502
1384,498,65531,480
1392,505,65531,509
1399,505,65531,484
1409,508,65531,501
1416,517,65531,508
1424,507,65531,486
1432,517,65531,517
1440,522,65531,493
1448,515,65531,510
1457,517,65531,507
1464,503,65531,491
1472,501,65531,516
1480,498,65531,485
1488,494,65531,498
1497,502,65531,496
1504,494,65531,480
1512,503,65531,509
1520,500,65531,481
1527,496,65531,494
1537,508,65531,496
1544,500,65531,480
1552,493,65531,507
1560,480,65531,473
1568,506,65531,496
1576,593,65531,521
1583,654,65531,542
1592,726,65531,620
1600,670,65531,606
1608,527,65531,592
1616,462,65531,549
1625,436,65531,502
1632,460,65531,511
1640,474,65531,474
1648,475,65531,487
1656,486,65531,485
1665,479,65531,468
1672,487,65531,495
1680,489,65531,467
1688,488,65531,484
1696,498,65531,483
1704,492,65531,474
1711,500,65531,503
1720,503,65531,477
1728,502,65531,495
1736,512,65531,496
1744,504,65531,485
1753,516,65531,517
1760,513,65531,488
1767,512,65531,505
1776,525,65531,508
1784,518,65531,496
1793,532,65531,530
1800,533,65531,503
1808,535,65531,526
1816,547,65531,527
1824,540,65531,518
1832,548,65531,548
1840,545,65531,519
1848,538,65531,537
1856,540,65531,534
1864,517,65531,514
1872,513,65531,536
1881,498,65531,496
1888,488,65531,507
1895,487,65531,499
1904,472,65531,476
1912,477,65531,498
1921,472,65531,463
1928,470,65531,478
1936,480,65531,473
1944,473,65531,461
1951,484,65531,491
1960,482,65531,460
1968,484,65531,479
1976,493,65531,479
1984,487,65531,468
1992,498,65531,500
2000,492,65531,470
2009,495,65531,499
2016,503,65531,488
2024,495,65531,476
2032,504,65531,507
2040,501,65531,477
2049,502,65531,505
2056,507,65531,495
2064,496,65531,483
2072,506,65531,511
2079,502,65531,480
2088,500,65531,506
2096,507,65531,497
2104,499,65531,484
2112,509,65531,513
2120,506,65531,483
2128,508,65531,510
2137,518,65531,495
2144,513,65531,494
2152,519,65531,523
2160,519,65531,494
2168,523,65531,521
2177,520,65531,505
2184,508,65531,499
2192,509,65531,524
2200,498,65531,489
2207,497,65531,508
2216,504,65531,492
2224,496,65531,485
2232,505,65531,514
2240,499,65531,482
2248,500,65531,509
2256,505,65531,490
2264,496,65531,486
2272,503,65531,512
2280,483,65531,475
2288,477,65531,496
2296,519,65531,488
2305,604,65531,519
2312,679,65531,585
2320,717,65531,595
2328,626,65531,621
2336,513,65531,573
2344,438,65531,527
2352,441,65531,521
2360,458,65531,475
2368,469,65531,493
2376,480,65531,472
2384,472,65531,470
2392,485,65531,493
2400,479,65531,462
2408,480,65531,486
2416,490,65531,471
2424,481,65531,470
2433,495,65531,492
2440,489,65531,467
2447,489,65531,491
2456,500,65531,479
2464,490,65531,477
2472,504,65531,501
2480,499,65531,476
2488,502,65531,505
2496,513,65531,490
2504,505,65531,491
2512,521,65531,514
2520,517,65531,489
2528,521,65531,520
2536,533,65531,508
2544,525,65531,508
2552,538,65531,533
2561,530,65531,504
2568,531,65531,533
2575,537,65531,520
2584,517,65531,513
2592,517,65531,531
2600,497,65531,494
2608,489,65531,512
2616,486,65531,487
2624,471,65531,480
2632,480,65531,493
2640,469,65531,462
2649,473,65531,489
2656,479,65531,466
2664,470,65531,463
2672,486,65531,485
2680,477,65531,457
2689,484,65531,489
2696,491,65531,468
2703,482,65531,468
2712,499,65531,493
2720,493,65531,468
2728,499,65531,501
2736,507,65531,482
2744,498,65531,484
2752,511,65531,506
2759,504,65531,480
2768,508,65531,512
2777,513,65531,490
2784,504,65531,493
2792,517,65531,516
2800,509,65531,487
2808,512,65531,518
2816,518,65531,496
2824,509,65531,498
2832,523,65531,522
2840,518,65531,494
2848,522,65531,526
2856,526,65531,502
2864,522,65531,508
2872,538,65531,530
2880,524,65531,503
2888,521,65531,532
2896,517,65531,505
2905,502,65531,507
2912,513,65531,520
2920,504,65531,490
2928,507,65531,519
2936,509,65531,492
2944,500,65531,496
2952,513,65531,514
2960,504,65531,486
2968,508,65531,516
2976,511,65531,491
2984,492,65532,496
2992,494,65531,506
2999,508,65531,481
3008,596,65531,539
3016,670,65531,555
3024,710,65532,604
3033,663,65531,626
3040,536,65531,573
3048,461,65531,563
3056,442,65531,503
3064,447,65532,493
3072,479,65531,498
3080,477,65531,468
3088,482,65531,496
3096,490,65531,471
3104,484,65532,479
3112,498,65531,490
3120,491,65531,470
3127,496,65531,501
3136,503,65531,479
3144,495,65532,486
3152,509,65531,500
3161,500,65531,479
3168,508,65531,511
3176,512,65531,488
3183,506,65532,495
3192,521,65531,510
3201,512,65531,488
3208,520,65531,522
3216,527,65531,500
3224,522,65532,511
3232,538,65531,524
3240,530,65531,504
3248,538,65531,538
3256,545,65531,516
3264,535,65532,526
3272,547,65531,538
3280,533,65531,513
3289,532,65531,543
3296,523,65531,511
3304,505,65532,515
3311,508,65531,521
3320,486,65531,487
3329,486,65531,511
3336,484,65531,478
3344,473,65532,481
3352,485,65531,488
3360,474,65531,463
3367,482,65531,494
3377,484,65531,464
3384,479,65532,475
3392,495,65531,487
3400,486,65531,465
3408,496,65531,499
3417,496,65531,471
3424,492,65532,485
3432,505,65531,495
3440,495,65531,473
3448,503,65531,506
3457,504,65531,479
3464,497,65532,492
3472,510,65531,502
3480,498,65531,480
3488,505,65531,511
3495,506,65531,483
3505,500,65532,499
3512,515,65531,507
3520,506,65531,484
3528,514,65531,517
3536,514,65531,488
3545,513,65532,507
3551,529,65531,518
3560,518,65531,494
3568,519,65531,526
3576,509,65531,493
3585,497,65532,505
3592,506,65531,506
3600,493,65531,482
3607,500,65531,512
3616,500,65531,481
3624,495,65532,496
3633,508,65531,497
3640,497,65531,480
3648,506,65531,512
3656,505,65531,483
3664,493,65532,500
3673,490,65531,491
3679,484,65531,471
3688,556,65531,522
3696,638,65531,530
3704,704,65532,594
3713,708,65531,622
3720,575,65531,588
3728,481,65531,579
3735,444,65531,512
3744,441,65532,503
3752,472,65531,493
3761,468,65531,470
3768,478,65531,495
3776,477,65531,462
3784,475,65532,478
3792,486,65531,475
3801,474,65531,463
3807,484,65531,491
3816,483,65531,462
3824,480,65532,478
3832,491,65531,478
3841,478,65531,464
3848,490,65531,496
3856,487,65531,465
3863,486,65532,481
3872,499,65531,484
3880,488,65531,471
3889,504,65531,505
3896,502,65531,475
3904,503,65532,498
3912,517,65531,498
3920,509,65532,488
3929,525,65531,521
3935,523,65531,493
3944,521,65532,514
3952,531,65531,515
3960,516,65532,501
3969,522,65531,530
3976,509,65531,494
3984,497,65532,508
3991,497,65531,502
4000,474,65531,479
4008,480,65531,502
4017,466,65531,463
4024,466,65532,477
4032,474,65531,471
4040,462,65531,456
4048,479,65531,486
4057,472,65531,454
4064,477,65532,473
4072,489,65531,474
4080,477,65531,461
4088,494,65531,494
4097,488,65531,464
4104,493,65532,489
4112,501,65531,486
4119,489,65531,471
4128,505,65531,505
4136,497,65531,475
4145,501,65532,503
4152,508,65531,493
4160,494,65532,480
4168,508,65531,510
