TimeStamp,ECG Data,GSR Data,EMG Data
0,499,622,490
2,502,622,502
4,505,623,521
6,511,624,559
8,514,625,577
10,515,625,587
12,513,624,579
14,510,623,555
16,506,622,502
18,505,621,470
20,505,621,448
22,508,621,451
24,511,622,478
26,515,623,512
28,519,624,574
30,519,624,600
0,505,624,496
2,508,625,533
4,507,625,544
6,503,623,537
8,501,623,517
10,499,622,493
12,498,621,471
14,499,622,473
17,502,622,501
18,505,623,532
20,507,624,561
22,507,624,583
24,506,624,575
26,503,623,550
28,498,621,493
30,497,621,465
