TimeStamp,ECG Data,GSR Data,EMG Data
0,513,580,462
6,525,581,492
13,536,583,576
20,526,579,484
26,535,580,507
33,546,582,578
40,537,579,471
47,549,580,516
53,555,582,611
60,540,578,489
66,543,579,543
73,547,581,634
80,527,577,443
87,527,578,430
93,524,580,537
100,498,577,457
106,499,577,508
113,495,580,564
120,475,576,436
126,481,578,448
133,484,580,528
140,467,576,439
146,471,577,477
153,479,579,565
160,465,576,476
166,476,577,487
174,484,579,554
180,473,575,435
186,481,576,468
193,491,578,593
200,480,575,478
206,491,577,488
214,498,578,574
220,489,575,462
226,497,576,464
233,507,578,570
240,496,575,444
246,507,576,498
252,511,578,564
261,495,575,424
266,502,576,445
273,509,578,547
279,496,575,452
286,506,576,491
292,510,578,595
301,497,574,437
306,503,575,456
313,510,578,596
319,498,575,517
326,507,576,506
332,510,578,527
340,497,574,491
346,504,575,524
353,511,578,540
359,496,574,401
366,506,576,472
372,512,578,587
380,498,574,450
386,507,576,490
393,512,578,582
399,499,574,458
406,507,576,472
412,512,578,548
420,499,574,429
425,509,576,490
433,514,578,596
439,500,574,466
446,508,576,495
452,515,578,590
460,505,574,450
465,517,576,497
474,524,577,587
479,511,574,473
486,518,576,494
492,526,578,575
500,514,574,466
505,524,576,507
514,526,577,547
519,510,574,473
526,512,576,513
532,509,578,625
540,494,574,507
545,504,576,518
553,506,577,529
559,493,575,424
566,502,576,441
572,509,578,539
580,496,574,431
585,507,576,472
593,510,577,548
600,500,574,447
606,509,576,501
612,501,578,585
620,480,574,462
625,506,576,508
633,577,577,589
640,634,574,499
646,694,576,544
652,737,578,617
660,653,574,460
665,563,576,480
673,474,577,544
679,432,574,450
687,445,576,535
692,466,578,589
700,468,574,428
705,479,576,497
713,485,577,573
719,478,574,415
727,491,576,498
732,494,578,582
740,481,574,466
745,492,576,487
753,498,577,548
759,488,574,461
766,503,576,536
772,508,578,606
780,495,574,478
785,504,576,512
793,510,577,554
799,502,574,437
806,515,576,507
813,518,577,580
820,506,574,492
825,517,576,509
833,522,577,594
839,511,574,528
846,529,576,523
852,535,577,526
860,525,574,437
865,537,576,507
873,545,577,597
879,537,574,464
886,550,576,520
892,551,577,577
901,539,574,436
905,544,576,498
913,542,577,593
919,521,574,451
926,524,576,494
932,516,577,546
941,492,574,455
945,495,576,494
953,492,577,557
959,473,574,436
966,481,576,497
972,479,577,535
980,466,574,458
985,474,576,518
993,478,577,562
999,470,574,415
1006,484,576,460
1012,485,577,547
1020,476,574,432
1026,488,576,487
1033,490,577,547
1039,482,574,418
1046,494,576,483
1052,498,577,552
1060,490,574,439
1065,503,576,528
1073,506,577,580
1079,494,574,459
1086,506,576,529
1092,509,577,593
1100,496,574,437
1105,508,576,482
1114,506,577,574
1119,496,574,450
1126,507,576,476
1132,508,577,552
1140,497,574,430
1145,508,576,494
1154,507,577,547
1159,498,574,464
1166,508,576,542
1172,507,577,595
1180,496,574,447
1185,506,576,517
1193,505,577,580
1199,497,574,451
1206,510,576,493
1212,508,577,561
1220,496,574,428
1225,510,576,516
1233,510,577,570
1240,497,574,463
1246,509,576,512
1252,512,577,571
1260,497,574,469
1265,507,576,507
1273,510,577,553
1280,501,574,445
1286,511,576,513
1292,513,577,566
1300,503,574,449
1306,515,576,510
1313,520,577,564
1319,510,574,482
1327,521,577,576
1333,521,577,601
1340,509,574,438
1346,523,576,497
1353,523,577,535
1359,512,574,468
